<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
OD600 growth	Data Submitter	OD600 growth	DataCat3ID	Well Substrate
0.23	Blattner Laboratory	0.23	3	1,2-Propanediol
0.2	Blattner Laboratory	0.2	3	1,2-Propanediol
0.18	Blattner Laboratory	0.18	3	1,2-Propanediol
0.18	Blattner Laboratory	0.18	3	1,2-Propanediol
0.18	Blattner Laboratory	0.18	3	1,2-Propanediol
0.21	Blattner Laboratory	0.21	7	2-Aminoethanol
0.18	Blattner Laboratory	0.18	7	2-Aminoethanol
0.17	Blattner Laboratory	0.17	7	2-Aminoethanol
0.19	Blattner Laboratory	0.19	7	2-Aminoethanol
0.13	Blattner Laboratory	0.13	7	2-Aminoethanol
1.46	Blattner Laboratory	1.46	9	2-Deoxy Adenosine
1.66	Blattner Laboratory	1.66	9	2-Deoxy Adenosine
1.7	Blattner Laboratory	1.7	9	2-Deoxy Adenosine
1.51	Blattner Laboratory	1.51	9	2-Deoxy Adenosine
1.44	Blattner Laboratory	1.44	9	2-Deoxy Adenosine
0.71	Blattner Laboratory	0.71	27	a-D-Glucose
0.78	Blattner Laboratory	0.78	27	a-D-Glucose
0.7	Blattner Laboratory	0.7	27	a-D-Glucose
0.64	Blattner Laboratory	0.64	27	a-D-Glucose
0.62	Blattner Laboratory	0.62	27	a-D-Glucose
0.98	Blattner Laboratory	0.98	28	a-D-Lactose
1.23	Blattner Laboratory	1.23	28	a-D-Lactose
1.2	Blattner Laboratory	1.2	28	a-D-Lactose
1.18	Blattner Laboratory	1.18	28	a-D-Lactose
1.09	Blattner Laboratory	1.09	28	a-D-Lactose
0.92	Blattner Laboratory	0.92	29	a-Hydroxy Butyric Acid
0.81	Blattner Laboratory	0.81	29	a-Hydroxy Butyric Acid
0.86	Blattner Laboratory	0.86	29	a-Hydroxy Butyric Acid
0.81	Blattner Laboratory	0.81	29	a-Hydroxy Butyric Acid
0.94	Blattner Laboratory	0.94	29	a-Hydroxy Butyric Acid
0.23	Blattner Laboratory	0.23	30	a-Hydroxy Glutaric Acid-g-Lactone
0.19	Blattner Laboratory	0.19	30	a-Hydroxy Glutaric Acid-g-Lactone
0.41	Blattner Laboratory	0.41	30	a-Hydroxy Glutaric Acid-g-Lactone
0.22	Blattner Laboratory	0.22	30	a-Hydroxy Glutaric Acid-g-Lactone
0.2	Blattner Laboratory	0.2	30	a-Hydroxy Glutaric Acid-g-Lactone
0.9	Blattner Laboratory	0.9	31	a-Keto-Butyric Acid
0.79	Blattner Laboratory	0.79	31	a-Keto-Butyric Acid
0.89	Blattner Laboratory	0.89	31	a-Keto-Butyric Acid
0.88	Blattner Laboratory	0.88	31	a-Keto-Butyric Acid
0.81	Blattner Laboratory	0.81	31	a-Keto-Butyric Acid
1.75	Blattner Laboratory	1.75	32	a-Keto-Glutaric Acid
1.4	Blattner Laboratory	1.4	32	a-Keto-Glutaric Acid
1.57	Blattner Laboratory	1.57	32	a-Keto-Glutaric Acid
1.68	Blattner Laboratory	1.68	32	a-Keto-Glutaric Acid
1.49	Blattner Laboratory	1.49	32	a-Keto-Glutaric Acid
1.84	Blattner Laboratory	1.84	34	a-Methyl-D-Galactoside
1.53	Blattner Laboratory	1.53	34	a-Methyl-D-Galactoside
1.72	Blattner Laboratory	1.72	34	a-Methyl-D-Galactoside
1.89	Blattner Laboratory	1.89	34	a-Methyl-D-Galactoside
1.88	Blattner Laboratory	1.88	34	a-Methyl-D-Galactoside
1.06	Blattner Laboratory	1.06	37	Acetic Acid
1.12	Blattner Laboratory	1.12	37	Acetic Acid
