,Experiment Description,Data Definition,Well Substrate,Data Value,Data Submitter
3,b3091 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.78,Blattner Laboratory
4,b3093 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.43,Blattner Laboratory
7,b3132 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.04,Blattner Laboratory
8,b3137 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.09,Blattner Laboratory
12,b3161 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.91,Blattner Laboratory
15,b3172 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
19,b3213 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.89,Blattner Laboratory
20,b3224 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.99,Blattner Laboratory
21,b3225 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.79,Blattner Laboratory
23,b3236 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.23,Blattner Laboratory
27,b3265 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
39,b3336 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.71,Blattner Laboratory
43,b3359 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.53,Blattner Laboratory
47,b3396 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.28,Blattner Laboratory
48,b3403 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
51,b3409 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.22,Blattner Laboratory
52,b3415 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.31,Blattner Laboratory
53,b3416 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.6,Blattner Laboratory
56,b3426 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.4,Blattner Laboratory
57,b3429 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
58,b3430 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.39,Blattner Laboratory
59,b3431 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.45,Blattner Laboratory
61,b3437 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
63,b3450 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.98,Blattner Laboratory
64,b3451 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
65,b3454 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.34,Blattner Laboratory
66,b3456 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
69,b3500 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.78,Blattner Laboratory
71,b3517 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.55,Blattner Laboratory
72,b3519 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
73,b3542 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.11,Blattner Laboratory
74,b3543 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.68,Blattner Laboratory
75,b3544 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.2,Blattner Laboratory
77,b3551 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.16,Blattner Laboratory
79,b3564 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
80,b3565 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
81,b3566 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.23,Blattner Laboratory
82,b3567 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.43,Blattner Laboratory
83,b3568 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.63,Blattner Laboratory
85,b3571 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
86,b3572 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
87,b3580 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.57,Blattner Laboratory
88,b3588 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.4,Blattner Laboratory
89,b3600 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.18,Blattner Laboratory
90,b3603 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.92,Blattner Laboratory
