Substrate,[ succ(e) ],[ nh4(e) ],[ o2(e) ],[ co2(e) ],[ pi(e) ],[ so4(e) ],[ h(e) ],[ h2o(e) ]
"1,2-Propanediol",0,10,10,15,15,10,10,55
2-Deoxy Adenosine,0,10,10,15,15,10,10,55
a-D-Glucose,0,10,10,15,15,10,10,55
a-D-Lactose,0,10,10,15,15,10,10,55
a-Keto-Glutaric Acid,0,10,10,15,15,10,10,55
Acetic Acid,0,10,10,15,15,10,10,55
Acetoacetic Acid,0,10,10,15,15,10,10,55
Adenosine,0,10,10,15,15,10,10,55
Citric Acid,0,10,10,15,15,10,10,55
"D,L-Malic Acid",0,10,10,15,15,10,10,55
D-Alanine,0,10,10,15,15,10,10,55
D-Fructose,0,10,10,15,15,10,10,55
D-Galactose,0,10,10,15,15,10,10,55
D-Galacturonic Acid,0,10,10,15,15,10,10,55
D-Gluconic Acid,0,10,10,15,15,10,10,55
D-Glucose-6-Phosphate,0,10,10,15,15,10,10,55
D-Glucuronic Acid,0,10,10,15,15,10,10,55
D-Mannitol,0,10,10,15,15,10,10,55
D-Mannose,0,10,10,15,15,10,10,55
D-Melibiose,0,10,10,15,15,10,10,55
D-Ribose,0,10,10,15,15,10,10,55
D-Serine,0,10,10,15,15,10,10,55
D-Sorbitol,0,10,10,15,15,10,10,55
D-Trehalose,0,10,10,15,15,10,10,55
D-Xylose,0,10,10,15,15,10,10,55
Formic Acid,0,10,10,15,15,10,10,55
Fumaric Acid,0,10,10,15,15,10,10,55
Glycerol,0,10,10,15,15,10,10,55
Glycolic Acid,0,10,10,15,15,10,10,55
Inosine,0,10,10,15,15,10,10,55
L-Alanine,0,10,10,15,15,10,10,55
L-Arabinose,0,10,10,15,15,10,10,55
L-Asparagine,0,10,10,15,15,10,10,55
L-Aspartic Acid,0,10,10,15,15,10,10,55
L-Fucose,0,10,10,15,15,10,10,55
L-Glutamic Acid,0,10,10,15,15,10,10,55
L-Glutamine,0,10,10,15,15,10,10,55
L-Lactic Acid,0,10,10,15,15,10,10,55
L-Malic Acid,0,10,10,15,15,10,10,55
L-Proline,0,10,10,15,15,10,10,55
L-Rhamnose,0,10,10,15,15,10,10,55
L-Serine,0,10,10,15,15,10,10,55
L-Threonine,0,10,10,15,15,10,10,55
Maltose,0,10,10,15,15,10,10,55
Maltotriose,0,10,10,15,15,10,10,55
N-Acetyl-b-D-Mannosamine,0,10,10,15,15,10,10,55
N-Acetyl-D-Glucosamine,0,10,10,15,15,10,10,55
Pyruvic Acid,0,10,10,15,15,10,10,55
Succinic Acid,0,10,10,15,15,10,10,55
Sucrose,0,10,10,15,15,10,10,55
Thymidine,0,10,10,15,15,10,10,55
Uridine,0,10,10,15,15,10,10,55
Butyric Acid,0,10,10,15,15,10,10,55
"D,L-Carnitine",0,10,10,15,15,10,10,55
