target_gene,glucose_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,edd_eda,pfk_fba,tktA,tktB,tal,gap_pgk,eno,pyk,pdh,glta_can,icd,suc,sdh_fum,mdh,mae,pck,pcc,pta_acka,acea_aceb
AlsR,8.11,0.54,3.92,7.14,1.93,1.55,5.19,0.39,5.90,0.50,0.26,0.50,12.38,11.53,8.78,7.70,2.33,2.33,1.48,1.48,01.02,0.46,0.36,2.61,04.04,0.00
AppY,7.74,0.55,4.76,7.41,2.45,1.43,4.94,01.02,5.58,0.46,0.22,0.46,12.33,11.48,8.75,8.32,1.91,1.91,01.07,01.07,0.61,0.46,0.18,2.41,05.09,0.00
ArcA,7.30,0.56,3.19,7.14,1.79,1.27,5.31,0.53,5.83,0.40,0.16,0.40,12.29,11.42,8.72,7.64,2.72,2.72,1.86,1.86,1.51,0.35,0.24,2.42,3.55,0.00
ArcB,7.36,0.56,4.39,7.30,1.94,1.60,5.33,0.34,06.08,0.51,0.28,0.51,12.71,11.85,9.51,8.00,2.30,2.30,1.46,1.46,1.40,0.06,0.51,2.34,4.37,0.00
ArgR,6.87,0.46,4.64,6.77,2.29,1.30,4.45,0.99,05.05,0.42,0.22,0.42,11.26,10.53,08.01,7.92,1.87,1.87,1.14,1.14,0.58,0.56,0.23,2.33,4.92,0.00
AscG,7.28,0.53,4.72,7.00,2.45,1.52,4.53,0.93,5.24,0.49,0.27,0.49,11.62,10.82,8.53,7.79,1.75,1.75,0.96,0.96,0.82,0.14,0.34,2.16,4.79,0.00
BasR,7.15,0.52,4.89,7.10,2.23,1.33,4.84,0.90,5.43,0.43,0.20,0.43,11.90,11.11,8.62,08.07,1.91,1.91,1.12,1.12,0.78,0.35,0.19,2.21,4.91,0.00
BolA,7.12,0.53,3.69,6.67,1.85,1.29,4.79,0.57,5.34,0.41,0.18,0.41,11.36,10.52,7.83,6.96,1.70,1.70,0.87,0.87,0.42,0.45,0.14,2.34,3.96,0.00
ChpB,6.90,0.51,05.04,6.89,02.02,1.46,4.85,0.57,5.53,0.47,0.25,0.47,11.81,11.04,8.77,7.74,1.75,1.75,0.97,0.97,0.81,0.16,0.33,2.13,4.78,0.00
CpxR,7.86,0.54,5.96,7.86,2.29,1.54,5.54,0.75,6.27,0.50,0.27,0.50,13.48,12.66,10.28,9.36,1.95,1.95,1.14,1.14,0.96,0.18,0.24,2.14,6.12,0.00
