target_gene,which_CS,carbon_source_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,"edd, eda","pfk, fba",tktA,tktB,tal,"gap, pgk",eno,pyk,pdh,"glta, can",icd,suc,"sdh, fum",mdh,mae,pck,pcc,"pta, acka","acea, aceb"
WT,gal,2.00,0.18,0.11,2.10,0.61,0.35,1.48,0.26,1.61,0.11,0.03,0.11,3.50,3.22,3.34,2.98,1.48,0.53,0.23,1.18,02.09,0.04,0.74,0.45,0.11,0.95
AlsR,gal,2.26,0.19,0.03,2.12,0.57,0.37,1.54,0.20,1.68,0.12,0.04,0.12,3.57,3.27,3.51,2.99,1.40,0.32,0.00,01.09,2.18,0.00,0.92,0.49,0.03,01.09
AppY,gal,2.64,0.18,0.15,1.94,0.53,0.41,1.40,0.13,1.59,0.13,0.07,0.13,3.34,03.09,3.45,03.01,1.36,0.27,0.00,1.10,2.16,0.04,0.90,0.39,0.15,1.10
ArcA,gal,02.08,0.18,0.04,2.18,0.54,0.22,1.63,0.32,1.69,0.07,0.00,0.07,3.68,3.42,3.68,3.41,1.94,0.91,0.64,1.67,2.67,0.03,0.82,0.38,0.04,01.03
ArcB,gal,2.49,0.19,0.04,2.49,0.63,0.62,1.85,0.02,2.16,0.20,0.12,0.20,4.43,4.14,4.13,3.66,2.18,1.20,0.90,1.88,2.67,0.20,0.74,0.58,0.04,0.98
ArgR,gal,2.65,0.18,0.05,2.56,0.56,0.43,1.99,0.14,2.17,0.14,0.05,0.14,4.50,4.21,4.48,3.99,2.30,1.12,0.80,1.99,03.09,0.08,01.03,0.57,0.05,1.18
AscG,gal,2.55,0.18,0.05,2.54,0.65,0.46,1.89,0.20,02.08,0.15,0.06,0.15,4.41,4.11,4.13,3.66,2.21,1.28,0.96,1.89,2.76,0.06,0.90,0.70,0.05,0.93
BasR,gal,2.13,0.20,0.04,2.13,0.58,0.44,1.54,0.14,1.72,0.15,0.05,0.15,3.60,3.31,3.51,03.01,1.43,0.37,0.06,1.13,2.16,0.05,0.80,0.41,0.04,01.07
BolA,gal,02.04,0.19,0.01,02.07,0.52,0.49,1.54,0.04,1.76,0.16,0.08,0.16,3.62,3.34,3.35,2.74,1.48,0.67,0.37,1.19,2.00,0.00,0.62,0.43,0.01,0.93
ChpB,gal,03.04,0.19,0.07,2.79,0.60,0.42,2.17,0.18,2.35,0.14,0.05,0.14,4.89,4.58,4.57,4.14,2.56,1.55,1.22,2.23,3.10,0.14,0.96,0.78,0.08,01.01
CpxR,gal,1.97,0.16,0.05,1.99,0.40,0.31,1.57,0.10,1.69,0.10,0.03,0.10,3.48,3.22,3.51,03.07,1.57,0.51,0.25,1.30,2.30,0.06,0.84,0.40,0.05,01.06
Cra,gal,04.09,0.34,0.92,3.66,0.73,0.64,2.92,0.09,3.16,0.21,0.06,0.21,6.42,5.89,4.24,3.46,1.57,1.44,0.90,01.04,0.83,0.35,0.31,1.65,0.93,0.14
CreB,gal,2.29,0.18,0.04,2.41,0.57,0.46,1.83,0.11,02.04,0.16,0.07,0.16,4.22,3.91,4.19,3.62,1.88,0.67,0.34,1.55,2.70,0.07,1.00,0.54,0.05,1.21
Crl,gal,2.14,0.19,0.04,2.13,0.73,0.63,1.39,0.10,1.71,0.21,0.12,0.21,3.60,3.31,3.39,2.86,1.37,0.38,0.07,01.06,1.98,0.08,0.75,0.48,0.04,1.00
Crp,gal,0.80,0.09,0.21,0.92,0.25,0.23,0.67,0.02,0.78,0.08,0.04,0.08,1.61,1.50,1.15,01.07,0.69,0.67,0.59,0.61,0.52,0.11,0.09,0.37,0.20,0.02
CsgD,gal,2.49,0.18,0.04,2.23,0.48,0.38,1.74,0.11,1.89,0.13,0.03,0.13,3.88,3.57,3.36,2.79,1.50,0.76,0.42,1.17,1.86,0.07,0.77,0.78,0.04,0.75
CspA,gal,3.11,0.22,0.04,03.07,0.87,0.78,2.19,0.09,2.56,0.26,0.14,0.26,5.32,4.91,4.89,4.40,2.18,0.65,0.22,1.75,2.88,0.40,0.86,0.62,0.04,1.54
CysB,gal,2.59,0.18,0.03,2.59,0.55,0.45,02.03,0.12,2.22,0.15,0.07,0.15,4.60,4.33,4.50,04.05,2.50,1.42,1.12,2.20,3.17,0.11,1.15,0.81,0.03,01.08
CytR,gal,1.82,0.17,0.03,1.92,0.45,0.35,1.47,0.10,1.61,0.12,0.04,0.12,3.34,03.08,3.27,2.88,1.43,0.41,0.14,1.16,02.06,0.12,0.60,0.25,0.03,01.02
DcuR,gal,2.29,0.17,0.03,2.10,0.61,0.47,1.49,0.13,1.71,0.16,0.08,0.16,3.60,3.33,3.81,3.31,1.58,0.32,0.03,1.29,2.54,0.02,0.84,0.20,0.03,1.27
EvgA,gal,1.99,0.18,0.03,2.00,0.51,0.47,1.48,0.04,1.69,0.16,0.08,0.16,3.47,3.20,3.39,2.81,1.31,0.30,0.00,01.03,02.01,0.04,0.82,0.45,0.03,01.03
FadR,gal,1.76,0.18,0.04,1.84,0.46,0.44,1.37,0.02,1.58,0.15,0.07,0.15,3.23,2.98,3.29,2.75,1.37,0.41,0.16,1.13,2.10,0.00,0.65,0.18,0.04,0.97
FhlA,gal,2.65,0.17,0.03,2.28,0.49,0.45,1.78,0.04,1.97,0.15,0.06,0.15,04.03,3.73,04.08,3.45,1.71,0.47,0.16,1.39,2.58,0.05,01.04,0.52,0.03,1.24
Fis,gal,3.12,0.24,0.10,03.03,0.76,0.63,2.27,0.13,2.54,0.21,0.09,0.21,5.26,4.85,4.89,4.27,2.12,0.72,0.29,1.69,2.89,0.21,0.99,0.68,0.11,1.40
FlhD,gal,2.56,0.18,0.01,1.97,0.50,0.38,1.47,0.12,1.61,0.12,0.04,0.12,3.36,03.06,03.02,2.42,1.14,0.34,0.02,0.82,1.63,0.00,0.79,0.65,0.02,0.80
FliZ,gal,1.50,0.17,0.03,1.59,0.43,0.35,1.16,0.09,1.30,0.12,0.05,0.12,2.71,2.47,2.49,02.08,0.96,0.24,0.00,0.72,1.39,0.05,0.58,0.41,0.02,0.72
Fnr,gal,1.73,0.18,0.02,1.89,0.61,0.27,1.28,0.34,1.36,0.09,0.01,0.09,03.04,2.78,2.97,2.72,1.28,0.28,0.01,1.00,1.94,0.05,0.74,0.38,0.02,0.99
